phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,15,24,1247,1008266,1009513,0.000071,0.032298,0.032369
10,16,26,26709,3455694,3482403,0.001266,0.090946,0.092212
10,14,24,6871,305796,312667,0.000390,0.007792,0.008182
9,14,23,4057,220164,224221,0.000234,0.005614,0.005848
10,14,24,48643,257375,306018,0.002212,0.006731,0.008943
8,15,23,546,769594,770140,0.000028,0.020520,0.020548
7,15,22,155,1307066,1307221,0.000007,0.033632,0.033639
8,15,23,847,7149921,7150768,0.000080,0.158901,0.158981
11,14,25,78574,225954,304528,0.003017,0.006043,0.009060
10,14,24,20373,1851287,1871660,0.000946,0.039993,0.040939
9,14,23,3925,3853337,3857262,0.000197,0.067966,0.068163
10,14,24,15825,1354148,1369973,0.000706,0.025128,0.025834
9,15,24,2521,565838,568359,0.000139,0.015561,0.015700
10,14,24,13660,4588644,4602304,0.000722,0.101682,0.102404
9,14,23,9107,62554,71661,0.000609,0.002658,0.003267
9,14,23,35889,254429,290318,0.001501,0.006094,0.007595
10,13,23,13022,25878,38900,0.000606,0.000782,0.001388
10,14,24,12651,794251,806902,0.000547,0.020987,0.021534
9,15,24,2806,1776096,1778902,0.000163,0.037891,0.038054
9,13,22,9065,95123,104188,0.000395,0.001860,0.002255
9,12,21,5870,102730,108600,0.000303,0.002099,0.002402
9,15,24,7430,3095108,3102538,0.000436,0.073621,0.074057
10,15,25,20293,288271,308564,0.000882,0.006459,0.007341
9,15,24,2607,895586,898193,0.000122,0.016699,0.016821
10,14,24,18709,315819,334528,0.000804,0.007668,0.008472
9,13,22,4264,58263,62527,0.000206,0.001133,0.001339
9,14,23,8208,321913,330121,0.000335,0.006590,0.006925
10,13,23,37321,35838,73159,0.001306,0.000789,0.002095
9,14,23,11468,363138,374606,0.000438,0.007775,0.008213
10,14,24,20420,189599,210019,0.000896,0.004459,0.005355
10,16,26,24363,1599265,1623628,0.001024,0.036392,0.037416
9,15,24,3801,1367536,1371337,0.000173,0.025717,0.025890
10,14,24,58587,646019,704606,0.001913,0.013022,0.014935
10,12,22,13745,14962,28707,0.000583,0.000330,0.000913
10,14,24,62103,1439480,1501583,0.002082,0.030833,0.032915
10,12,22,36898,2026,38924,0.001645,0.000061,0.001706
8,14,22,9834,1287040,1296874,0.000317,0.028356,0.028673
10,14,24,82828,186734,269562,0.003210,0.004536,0.007746
10,15,25,13975,1162186,1176161,0.000585,0.026334,0.026919
9,14,23,13706,398377,412083,0.000595,0.008979,0.009574
9,14,23,4534,1527092,1531626,0.000215,0.029440,0.029655
9,15,24,9813,2497598,2507411,0.000398,0.043555,0.043953
10,12,22,22010,21436,43446,0.000942,0.000442,0.001384
10,15,25,22015,3025339,3047354,0.000823,0.069749,0.070572
10,13,23,24344,47898,72242,0.001062,0.000957,0.002019
10,16,26,48000,1474647,1522647,0.001971,0.035305,0.037276
10,15,25,16002,719849,735851,0.000801,0.019640,0.020441
