phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,13,23,25040,332325,357365,0.001151,0.007661,0.008812
9,13,22,6045,370816,376861,0.000309,0.008619,0.008928
9,12,21,1738,60379,62117,0.000096,0.001469,0.001565
9,15,24,1265,2245659,2246924,0.000073,0.043386,0.043459
9,15,24,12409,1500596,1513005,0.000545,0.027079,0.027624
9,16,25,1535,2345912,2347447,0.000075,0.041973,0.042048
7,15,22,550,1460375,1460925,0.000025,0.028655,0.028680
9,11,20,24823,8612,33435,0.001092,0.000242,0.001334
9,15,24,14295,1450761,1465056,0.000688,0.028920,0.029608
10,15,25,39606,8347365,8386971,0.002004,0.165195,0.167199
10,13,23,24648,183766,208414,0.001068,0.003908,0.004976
10,11,21,18887,1507,20394,0.001073,0.000043,0.001116
9,15,24,5598,1311386,1316984,0.000239,0.028701,0.028940
10,15,25,43422,869443,912865,0.001879,0.018624,0.020503
9,15,24,7503,1716734,1724237,0.000354,0.032731,0.033085
10,15,25,32537,1141158,1173695,0.001479,0.022415,0.023894
10,15,25,17230,2090549,2107779,0.000798,0.039415,0.040213
10,12,22,32359,12789,45148,0.001354,0.000314,0.001668
10,14,24,27633,86965,114598,0.001127,0.001824,0.002951
10,15,25,26079,790519,816598,0.000922,0.016822,0.017744
9,14,23,9184,645968,655152,0.000402,0.014251,0.014653
10,13,23,19311,31984,51295,0.000921,0.000792,0.001713
9,15,24,11467,1414722,1426189,0.000527,0.028365,0.028892
10,13,23,38077,90859,128936,0.001452,0.001815,0.003267
10,14,24,31501,533368,564869,0.001114,0.011292,0.012406
9,13,22,9969,22366,32335,0.000382,0.000601,0.000983
10,15,25,23920,500535,524455,0.000971,0.012065,0.013036
10,13,23,31081,76341,107422,0.001350,0.001796,0.003146
10,13,23,6102,162154,168256,0.000279,0.003497,0.003776
10,12,22,42165,172467,214632,0.001757,0.003796,0.005553
9,11,20,4254,2224,6478,0.000197,0.000066,0.000263
9,14,23,4072,667918,671990,0.000177,0.015342,0.015519
